author,comments,name,press,price,rank
乔安娜柯尔,582986条评论,神奇校车·桥梁书版（全20册）,贵州人民出版社,¥75.00,21.
金波,180189条评论,乌丢丢的奇遇 曹文轩推荐儿童文学经典书系150000多名读者热评！,北京教育出版社,¥14.30,101.
刘慈欣,55126条评论,三体2：黑暗森林（刘慈欣代表作，亚洲首部雨果奖获奖作品！）,重庆出版社,¥18.90,22.
战国,82951条评论,鬼谷子—中华经典藏书,吉林美术出版社,¥17.50,23.
刘慈欣,55407条评论,三体3：死神永生（刘慈欣代表作，亚洲首部“雨果奖”获奖作品！）,重庆出版社,¥22.80,24.
丹姆,724135条评论,小熊和最好的爸爸（全7册）,贵州人民出版社,¥17.50,25.
丰子恺,47782条评论,丰子恺万般滋味，都是生活,华中科技大学出版社,¥21.00,26.
雷蒙德·钱德勒,47763条评论,漫长的告别（怪不得村上春树读了12遍！每每陷入困境，村上春树便,海南出版社,¥34.50,27.
张嘉骅,440079条评论,少年读史记（套装全5册）,青岛出版社,¥50.00,28.
李渔,187673条评论,笠翁对韵 中华经典儿童启蒙  注音+注释+典故 每日诵读十分钟 打好,中国文史出版社,¥13.10,102.
亚瑟·乔拉米卡利,2700条评论,共情的力量：情商高的人，如何抚慰受伤的灵魂,中国致公出版社,¥24.90,103.
柴静,726635条评论,看见,广西师范大学出版社,¥21.90,104.
老舍,57685条评论,骆驼祥子（新课标）老舍经典小说，更适合青少年阅读的佳本,浙江工商大学出版社,¥16.30,105.
阿西莫夫,117985条评论,银河帝国：基地（被马斯克用火箭送上太空的科幻神作，讲述人类未,江苏文艺出版社,¥17.50,106.
斯凯瑞,391268条评论,斯凯瑞金色童书·第一辑（全4册）,贵州人民出版社,¥41.60,107.
张嘉佳,262445条评论,云边有个小卖部,湖南文艺出版社,¥21.00,29.
渡边淳一,89194条评论,钝感力（渡边淳一经典：具备不为小事动摇的钝感力，才能成为真正,青岛出版社,¥16.00,30.
戴尔·卡耐基,404505条评论,人性的弱点（薛之谦推荐，畅销100万册）【果麦经典】,天津人民出版社,¥16.00,61.
克里斯多福·孟,164127条评论,亲密关系：通往灵魂的桥梁（2015全新修订版）,湖南文艺出版社,¥17.50,108.
墨香铜臭,21520条评论,无羁（墨香铜臭作品）,四川文艺出版社,¥26.40,109.
龙应台,527060条评论,目送：龙应台“人生三书”之三（彩插新版）,广西师范大学出版社,¥25.80,110.
李宗吾,113185条评论,厚黑学(李宗吾著),群言出版社,¥14.90,111.
林奕含,89670条评论,房思琪的初恋乐园,北京联合出版有限公司,¥24.80,121.
余华,184576条评论,许三观卖血记（新版）,作家出版社,¥19.20,81.
黄仁宇,443347条评论,万历十五年 一本好书 腾讯视频栏目推荐,生活.读书.新知三联书店,¥16.00,31.
李思圆,326097条评论,生活需要仪式感 （把温暖和感动带给你在乎的人）,山东文艺出版社,¥18.00,32.
薛兆丰,58951条评论,薛兆丰经济学讲义,中信出版社,¥40.70,33.
陈卫平,531817条评论,写给儿童的中国历史（全14册）,新世界出版社,¥177.50,34.
亚历山德拉·米热林斯卡,638164条评论,地图 人文版（升级版）手绘世界地图 儿童百科绘本,贵州人民出版社,¥84.00,62.
墨羽◎,12336条评论,受益一生的墨菲定律,中国商业出版社,¥24.50,63.
怀特,530405条评论,夏洛的网（新）,上海译文出版社,¥16.50,64.
山下英子,394257条评论,断舍离,广西科学技术出版社,¥16.00,65.
斯蒂文·谢尔弗,189193条评论,美国儿科学会育儿百科（第6版，2018全新增订),北京科学技术出版社,¥53.20,66.
古斯塔夫·勒庞,118238条评论,乌合之众 : 大众心理研究,民主与建设出版社,¥10.90,67.
姜自霞,181261条评论,魔法拼音国（套装 共7册）,浙江少年儿童出版社,¥49.00,112.
达芙妮·斯金纳,169412条评论,数学帮帮忙（全25册）多功能数学绘本,新蕾出版社,¥112.50,113.
罗伯特·清崎,312562条评论,富爸爸穷爸爸（20周年修订版）（团购，请致电010-57993380）,四川人民出版社,¥27.90,114.
赖德·卡罗尔,8750条评论,子弹笔记（INS爆红，YouTube千万点赞的超级笔记术）,北京联合出版有限公司,¥30.80,122.
英格丽,90179条评论,多莱尔的希腊神话书（畅销千万册，纽约公共图书馆“百年百佳书”,江苏教育出版社,¥43.10,82.
莳田晋至,189290条评论,在教室说错了没关系,青岛出版社,¥18.00,83.
史蒂夫,159328条评论,养育男孩（典藏版）,中信出版社,¥16.00,84.
奥斯特洛夫斯基,56782条评论,钢铁是怎样炼成的（新课标）非改写，更适合青少年阅读，越是艰苦,浙江工商大学出版社,¥19.20,85.
马克·吐温,62298条评论,汤姆·索亚历险记（新课标全译本，万条读者五星好评，北大著名翻,浙江工商大学出版社,¥17.80,86.
盖温·肯尼迪,53061条评论,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,民主与建设出版社,¥20.70,35.
佟洵,12669条评论,国家宝藏 100件文物讲述中华文明史,四川人民出版社,¥49.90,36.
佐佐木圭一,586067条评论,所谓情商高，就是会说话,北京联合出版公司,¥16.00,37.
黑柳彻子,915650条评论,窗边的小豆豆(2018版),南海出版公司,¥29.60,38.
哥伦,405390条评论,霍乱时期的爱情（2015版）  一本好书 腾讯视频栏目推荐,南海出版公司,¥34.20,68.
芥川龙之介,93485条评论,罗生门（芥川龙之介小说集）《人间失格》作者太宰治是芥川的头号,时代文艺出版社,¥13.30,69.
加·泽文,1059384条评论,岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美,江苏文艺出版社,¥17.50,70.
莱曼·弗兰克·鲍姆,105627条评论,百年童话绘本·典藏版（全套30册）当当2018年度常青藤畅销书奖，,北京联合出版公司,¥199.80,71.
怀左同学,55638条评论,我这么自律，就是为了不平庸至死（500册亲笔签名本随机发）,北京联合出版有限公司,¥17.80,72.
孙武,64178条评论,孙子兵法·三十六计（新课标，完整原文+详细注释+准确翻译+历史故,浙江工商大学出版社,¥18.50,115.
